Accession	Target of assay	Filename	Date released	Date submitted
ENCSR505DVB	ZMYM3	ENCFF640TCA	2020-08-28	2019-12-06
ENCSR661IKO	TRAFD1	ENCFF503IOR	2020-08-28	2019-12-06
ENCSR923MOO	MEF2D	ENCFF407WPM	2020-08-28	2019-12-06
ENCSR960ASR	TIGD6	ENCFF667FDX	2020-08-28	2019-12-06
ENCSR654PQY	ZNF616	ENCFF255QEY	2020-06-30	2019-12-06
ENCSR263XFO	ZNF83	ENCFF621IOC	2020-08-17	2019-12-04
ENCSR731LZB	ZNF788	ENCFF663KMO	2020-07-01	2019-12-04
ENCSR225SLE	ZNF569	ENCFF795VJZ	2020-07-01	2019-12-03
ENCSR597QZQ	KIAA2018	ENCFF854ZPK	2020-07-01	2019-11-25
ENCSR306HAG	SNAPC4	ENCFF754CRG	2020-07-08	2019-11-21
ENCSR215XSZ	ZMAT5	ENCFF896EHN	2020-06-30	2019-10-28
ENCSR700PNE	MAZ	ENCFF341OLL	2020-07-01	2019-10-28
ENCSR565BVI	NFAT5	ENCFF069YFV	2020-07-08	2019-10-23
ENCSR436PIH	ZNF483	ENCFF616FXO	2020-07-08	2019-10-23
ENCSR232AAR	ZBTB42	ENCFF696QTC	2020-07-01	2019-10-23
ENCSR024ZIS	ZNF260	ENCFF612MQA	2020-08-17	2019-10-23
ENCSR075BAS	ZNF17	ENCFF300AER	2020-07-01	2019-10-23
ENCSR291MJH	MEF2A	ENCFF938PFW	2020-07-09	2019-10-23
ENCSR731UPJ	ZFP41	ENCFF853YIS	2020-08-17	2019-10-23
ENCSR980HGI	ELF4	ENCFF488DML	2020-07-01	2019-10-22
ENCSR436RQS	ZNF577	ENCFF535BYF	2020-07-08	2019-10-22
ENCSR720PDY	ZNF20	ENCFF627DNU	2020-07-08	2019-10-22
ENCSR957FIZ	UBTF	ENCFF810LSF	2020-08-17	2019-09-30
ENCSR904JEY	ZNF34	ENCFF841BQO	2020-07-08	2019-09-30
ENCSR887TWV	ATF5	ENCFF482BEV	2020-07-08	2019-09-30
ENCSR574UJE	ZNF485	ENCFF837BSM	2020-07-09	2019-09-30
ENCSR505UNL	ZNF333	ENCFF486PIE	2020-07-08	2019-09-30
ENCSR520MCD	CEBPD	ENCFF929XBL	2020-07-09	2019-09-30
ENCSR513NBU	ZNF713	ENCFF262CSX	2020-08-17	2019-09-30
ENCSR672BSA	ETS1	ENCFF697NJT	2020-07-08	2019-09-30
ENCSR518KLO	NRL	ENCFF233BHX	2020-07-09	2019-09-30
ENCSR856QJP	ZNF775	ENCFF230KZH	2020-07-08	2019-09-30
ENCSR264LQX	ZNF383	ENCFF442ZRY	2020-07-08	2019-09-30
ENCSR171BKT	ZNF674	ENCFF450BWT	2020-07-01	2019-08-20
ENCSR493VBX	ZSCAN31	ENCFF810TWJ	2020-07-01	2019-08-06
ENCSR902AMJ	ZNF660	ENCFF215UIS	2020-10-22	2019-08-01
ENCSR267NVP	ESRRA	ENCFF700DMQ	2020-10-22	2019-08-01
ENCSR127IHN	ZNF737	ENCFF024LQZ	2020-06-30	2019-07-31
ENCSR735VJE	LBX2	ENCFF918TGZ	2020-06-30	2019-07-31
